"formula","tool","exit_status","exit_code","time","states","edges","transitions","acc","scc","nondet_states","nondet_aut","complete_aut","automaton"
"(X(p3)) R (((p2) & (X(F(p1)))) | ((!(p2)) & (X(G(!(p1))))))","ltl3tela_det","ok",0,0.013607,6,13,38,1,6,0,0,0,"HOA: v1 States: 6 Start: 0 AP: 3 ""p3"" ""p2"" ""p1"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc deterministic --BODY-- State: 0 [1] 1 [!1] 2 State: 1 [!0&1&!2] 1 [!0&1&2] 1 {0} [!0&!1&2] 2 [0&2] 3 [0&!2] 4 State: 2 [!0&!1&!2] 2 {0} [0&!2] 5 State: 3 [t] 3 {0} State: 4 [2] 3 [!2] 4 State: 5 [!2] 5 {0} --END--"
"G(((!(p0)) & (p1)) | ((p0) & (!(p1))))","ltl3tela_det","ok",0,0.00578718,1,1,2,0,1,0,0,0,"HOA: v1 States: 1 Start: 0 AP: 2 ""p0"" ""p1"" acc-name: all Acceptance: 0 t properties: trans-labels explicit-labels state-acc deterministic very-weak --BODY-- State: 0 [!0&1 | 0&!1] 0 --END--"
"(!(p2)) <-> (!(p3))","ltl3tela_det","ok",0,0.00545763,2,2,6,0,2,0,0,0,"HOA: v1 States: 2 Start: 1 AP: 2 ""p2"" ""p3"" acc-name: all Acceptance: 0 t properties: trans-labels explicit-labels state-acc deterministic --BODY-- State: 0 ""{}"" [t] 0 State: 1 ""init"" [!0&!1 | 0&1] 0 --END--"
"((p0) & (p3)) W (F((!(p3)) & (X((!(p3)) W (!(p2))))))","ltl3tela_det","ok",0,0.0100189,4,9,32,1,3,0,0,1,"HOA: v1 States: 4 Start: 0 AP: 3 ""p3"" ""p2"" ""p0"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [0&2] 0 [!0] 1 [0&!2] 2 State: 1 [!0&1] 1 [0&1] 2 {0} [!1] 3 State: 2 [!0] 1 [0] 2 {0} State: 3 [t] 3 --END--"
"F(((p1) & (G(F(p2)))) | ((!(p1)) & (F(G(!(p2))))))","ltl3tela_det","ok",0,0.0115737,4,9,16,3,4,0,0,1,"HOA: v1 States: 4 Start: 0 AP: 2 ""p1"" ""p2"" Acceptance: 3 (Fin(2) & Inf(1)) | Inf(0) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [!0] 1 [0] 2 State: 1 [!0&!1] 1 {1} [!0&1] 1 {2} [0] 3 State: 2 [0&!1] 2 [0&1] 2 {0} [!0] 3 State: 3 [t] 3 {1} --END--"
"(p3) xor ((p3) W (X(p0)))","ltl3tela_det","ok",0,0.00892747,5,7,14,1,5,0,0,0,"HOA: v1 States: 5 Start: 4 AP: 2 ""p3"" ""p0"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic terminal --BODY-- State: 0 {0} [t] 0 State: 1 [1] 0 State: 2 [!1] 0 State: 3 [!0&!1] 2 [0&!1] 3 State: 4 [!0] 1 [0] 3 --END--"
"G((F(p2)) | ((!(p2)) & (F(!(p1)))))","ltl3tela_det","ok",0,0.0129263,1,2,4,1,1,0,0,1,"HOA: v1 States: 1 Start: 0 AP: 2 ""p2"" ""p1"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [!0&1] 0 [0 | !1] 0 {0} --END--"
"(X(p1)) | ((p3) & (((p1) M (G(F(p1)))) U (X(!(p0)))))","ltl3tela_det","ok",0,0.0287495,6,10,44,1,6,0,0,0,"HOA: v1 States: 6 Start: 0 AP: 3 ""p3"" ""p1"" ""p0"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc deterministic --BODY-- State: 0 [!0] 1 [0] 2 State: 1 [1] 3 State: 2 [1 | !2] 3 [!1&2] 4 State: 3 [t] 3 {0} State: 4 [2] 4 [!2] 5 State: 5 [!1] 5 [1] 5 {0} --END--"
"G((p3) M (F(p1)))","ltl3tela_det","ok",0,0.0133115,1,4,4,2,1,0,0,1,"HOA: v1 States: 1 Start: 0 AP: 2 ""p1"" ""p3"" acc-name: generalized-Buchi 2 Acceptance: 2 Inf(0)&Inf(1) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [!0&!1] 0 [0&!1] 0 {0} [!0&1] 0 {1} [0&1] 0 {0 1} --END--"
"X(X((G(F(p0))) R (p3)))","ltl3tela_det","ok",0,0.0198687,5,7,18,1,5,0,0,0,"HOA: v1 States: 5 Start: 0 AP: 2 ""p0"" ""p3"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc deterministic --BODY-- State: 0 [t] 1 State: 1 [t] 2 State: 2 [1] 3 State: 3 [1] 3 {0} [!1] 4 State: 4 [!0] 4 [0] 4 {0} --END--"
